gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,14.3567,flydsl_moe1_abf16_wfp4_bf16_t16x32x256_w2_xcd1_kw4,0.0%,11.7035,flydsl_moe2_abf16_wfp4_bf16_t16x128x256_atomic_persist,4.5%,26.0602,0,0,0,5.43,70073.13,
gfx950,256,2,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,16.5029,flydsl_moe1_abf16_wfp4_bf16_t16x32x256_kw4,0.0%,12.6527,flydsl_moe2_abf16_wfp4_bf16_t16x256x256_atomic_persist,4.8%,29.1556,0,0,0,9.71,62634.43,
gfx950,256,4,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,22.2999,flydsl_moe1_abf16_wfp4_bf16_t16x32x256_w4_bnt0_xcd1_kw4,0.0%,15.2465,flydsl_moe2_abf16_wfp4_bf16_t16x256x256_atomic_persist,4.4%,37.5464,0,0,0,15.08,48638.31,
gfx950,256,8,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,45.7793,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_nt_sbm16,1.2%,45.7793,0,0,0,24.74,39892.32,
gfx950,256,16,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,76.1561,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_sbm16,1.2%,76.1561,0,0,0,29.74,23982.19,
gfx950,256,32,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,123.9929,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_nt_sbm16,1.2%,123.9929,0,0,0,36.53,14732.17,
gfx950,256,64,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,141.2112,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x256_atomic_nt_sbm16,1.2%,141.2112,0,0,0,64.16,12940.01,
gfx950,256,128,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,161.8456,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_swiglu_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,161.8456,0,0,0,111.95,11302.38,
gfx950,256,4,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,27.0969,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu_xcd4,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_sbm16,1.2%,27.0969,0,0,0,10.45,33698.37,
gfx950,256,8,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,32.7771,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,32.7771,0,0,0,17.28,27860.76,
gfx950,256,16,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,41.2462,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_nt_sbm16,1.2%,41.2462,0,0,0,27.46,22143.68,
gfx950,256,32,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,66.8639,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt_swiglu,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.2%,66.8639,0,0,0,33.87,13664.14,
